food_id,food_name,category,calories_kcal,carbs_g,protein_g,fat_g,sugar_g,fiber_g,calcium_mg,sodium_mg
54,소고기 국밥,밥류,533.9399999999999,101.44859999999998,18.607,4.5304,3.3169,4.045,32.36,1003.16
55,양송이 덮밥,밥류,531.9599999999999,112.3408,10.868,3.718,7.2644,4.004,22.88,263.12
56,열무 비빔밥,밥류,504.0,101.16,15.0,3.06,3.66,5.4,120.0,672.0
57,잡곡밥_현미,밥류,396.0,84.24,8.7,1.47,0.4499999999999999,3.3000000000000003,18.0,9.0
58,잡채밥,밥류,646.36,112.39799999999998,17.732,11.8976,3.4892,4.004,51.48,463.32
59,잡탕밥,밥류,632.5,102.465,30.25,10.12,1.485,4.4,44.0,484.0
60,주먹밥,밥류,392.85,74.2632,6.693,6.0819,2.5608,2.037,29.1,305.55
61,주먹밥_배추김치,밥류,339.20000000000005,66.592,7.648000000000001,4.16,2.5280000000000005,3.84,51.2,460.8
62,주먹밥_참치,밥류,393.0,63.48,14.22,8.129999999999999,1.89,2.4000000000000004,39.0,450.0
63,짜장밥,밥류,483.6,81.016,14.82,10.088,11.128000000000002,5.720000000000001,57.2,936.0
64,짬뽕밥,밥류,646.5600000000001,102.372,29.634000000000004,11.4495,7.5432000000000015,8.082,134.70000000000002,1198.8300000000002
65,차조밥,밥류,360.0,76.98,6.9,1.2000000000000002,0.51,2.4000000000000004,9.0,3.0
66,참치덮밥,밥류,626.4,92.278,33.64,12.354,11.89,6.96,69.6,1977.8
67,참치회덮밥_양념장,밥류,456.0,72.84,28.380000000000003,4.86,9.9,4.199999999999999,60.0,528.0
68,충무김밥,밥류,418.56,77.1393,11.445,6.213,2.8449,4.905,91.56,608.22
69,카레라이스_돼지고기,밥류,540.0,94.38,16.799999999999997,9.9,7.800000000000001,5.4,36.0,456.0
70,카레라이스_소고기,밥류,646.36,110.2816,15.444,14.1856,5.0336,4.576,45.76,1704.56
71,카레라이스_채소,밥류,617.5,123.24,13.585,7.67,11.83,7.8,58.5,611.0
72,콩나물 국밥,밥류,498.00000000000006,88.727,22.078000000000003,6.059,3.486,6.640000000000001,182.6,481.4
73,콩나물밥_돼지고기,밥류,520.52,98.4412,18.876,4.804799999999999,1.2011999999999998,4.004,62.92,509.08
74,현미밥,밥류,360.0,77.25,6.9,1.14,0.54,2.1,6.0,3.0
75,볶음밥_참치,밥류,612.0,83.63999999999999,33.558,13.872,6.375,4.08,61.2,1127.1
76,볶음밥_채소,밥류,345.0,64.11,8.7,5.07,2.28,3.6,24.0,321.0
77,볶음밥_해물,밥류,530.0,76.9,26.6,10.95,5.4,3.5,65.0,700.0
78,볶음밥_맛살,밥류,536.0,97.12,14.0,8.28,4.16,3.6,148.0,972.0
79,비빔밥,밥류,704.9,93.704,23.85,24.592,5.83,5.83,84.8,710.1999999999999
80,비빔밥_묵_양념장,밥류,556.8,94.772,17.921999999999997,12.005999999999998,8.352,7.54,116.0,1537.0
81,비빔밥_참치_양념장,밥류,600.0,96.66,28.92,10.8,10.32,6.6000000000000005,108.0,1152.0
82,삼각김밥,밥류,174.825,28.8981,4.536,4.158,0.2267999999999999,1.134,10.395,169.155
83,수수밥,밥류,427.0,91.0,8.4,1.4,0.5950000000000001,3.15,7.0,3.5
84,알밥,밥류,430.0,78.35,11.5,7.25,2.35,4.0,55.0,755.0
85,영양돌솥밥,밥류,416.5,88.515,8.505,1.54,2.03,3.15,17.5,7.0
86,오곡밥,밥류,397.44,82.24799999999999,9.384,1.7939999999999998,0.69,4.14,16.56,339.48
87,오므라이스,밥류,526.5,77.49,16.38,14.985,11.25,3.6,54.0,949.5
88,우럭회덮밥_양념장,밥류,502.5,86.025,26.175,5.775,11.625,6.0,112.5,480.0
89,율무밥,밥류,318.6,69.012,5.940000000000001,0.4590000000000001,0.027,0.81,5.4,5.4
90,잡곡밥,밥류,327.5,67.825,7.75,1.75,0.775,3.5,17.5,2.5
91,잡곡밥_보리,밥류,411.0,86.25,9.3,1.95,0.8400000000000001,4.5,18.0,3.0
92,잡곡밥_보리_흑미,밥류,405.0,84.96000000000001,9.0,1.86,0.81,3.9,18.0,3.0
93,잡곡밥_서리태,밥류,402.0,82.05000000000001,10.2,2.43,1.0499999999999998,4.5,24.0,3.0
94,김밥_참치,밥류,512.0,69.96,21.2,15.72,2.28,4.4,72.0,700.0
95,김밥_참치_고추,밥류,476.0,65.68,17.6,15.04,2.0,5.2,64.0,544.0
96,김밥_참치_김치,밥류,500.0,61.8,21.6,17.8,3.08,4.8,152.0,752.0
97,김밥_채소,밥류,408.0,72.2,14.0,6.32,2.36,4.4,64.0,612.0
98,김밥_치즈,밥류,488.0,74.64,18.4,11.84,2.4,4.8,220.0,884.0
99,김밥_고추,밥류,376.0,66.0,12.8,6.52,2.6,5.2,68.0,608.0
100,김밥_샐러리,밥류,509.6,77.42,10.976,16.464,3.4496,4.312,86.24,999.6
101,넙치(광어)회덮밥_양념장,밥류,392.7,64.464,21.777,5.406,9.792,4.08,91.8,433.5
102,누룽지,밥류,522.0,115.02,9.0,0.36,1.44,6.0,24.0,6.0
103,돌솥 비빔밥,밥류,580.75,100.395,19.55,10.235,6.0375000000000005,6.9,166.75,534.75
104,돌솥 비빔밥_양념장,밥류,473.0,76.94500000000001,15.455,11.385,6.765,5.5,93.5,638.0
105,묵밥,밥류,420.0,77.94,15.6,4.44,2.58,6.6000000000000005,72.0,558.0
106,보리밥,밥류,351.0,75.66,7.800000000000001,1.32,0.48,5.699999999999999,18.0,3.0
107,볶음밥_계란,밥류,492.0,78.6,17.4,10.44,0.66,4.800000000000001,54.0,333.0
108,볶음밥_김치_돼지고기,밥류,481.8,81.5556,14.892,8.979,2.3214,4.38,39.42,372.3
109,볶음밥_돼지고기,밥류,520.9300000000001,82.4268,17.518,11.2484,3.4575000000000005,3.227,32.27,645.4000000000001
110,볶음밥_배추김치_참치,밥류,535.5,74.46,26.061,13.158,5.762999999999999,5.1,81.6,979.2
111,볶음밥_새우,밥류,504.0,74.112,23.328,10.8,4.56,3.36,62.4,686.4
112,볶음밥_소고기,밥류,503.88,81.2396,11.05,13.127400000000002,2.7404,3.978,22.1,450.84
113,커피_카페모카,음료 및 차류,72.0,10.46,2.76,2.08,9.72,0.6,91.0,29.0
114,커피_카푸치노,음료 및 차류,54.0,3.23,2.67,3.38,3.13,0.3,78.0,33.0
115,고구마_밤고구마_삶은것,"곡류, 서류 제품",132.0,30.17,2.45,0.12,18.43,3.7,58.0,79.0
116,팝콘,"곡류, 서류 제품",511.0,58.06,8.3,27.34,0.38,10.4,5.0,500.0
117,팝콘_카라멜,"곡류, 서류 제품",479.0,69.79,5.92,19.56,27.42,6.8,48.0,105.0
118,달걀_삶은것,수·조·어·육류,150.0,0.63,12.8,10.65,0.62,0.0,58.0,127.0
119,달걀_삶은것_노른자,수·조·어·육류,358.0,1.17,15.66,32.31,0.23,0.0,129.0,46.0
120,달걀_삶은것_흰자,수·조·어·육류,48.0,0.01,11.42,0.29,0.32,0.0,10.0,186.0
121,대구포,수·조·어·육류,141.0,2.33,31.97,0.4,0.0,1.2,155.0,3876.0
122,계란 덮밥,밥류,507.0,81.66,15.0,11.07,2.43,2.4000000000000004,39.0,315.0
123,곤드레밥,밥류,620.0,134.0,11.0,4.699999999999999,0.75,22.0,35.0,45.0
124,기장밥,밥류,328.821,70.27593,6.3725,0.99411,0.43333,2.0392,7.647,2.549
125,김밥_계란,밥류,388.0,56.88,17.2,9.36,2.04,4.0,68.0,596.0
126,김밥_김치,밥류,436.0,77.16,14.4,6.76,3.64,6.8,88.0,936.0
127,김밥_날치알,밥류,416.0,69.12,16.8,7.6,2.04,4.8,64.0,1012.0
128,김밥_돈가스,밥류,592.0,77.6,17.6,22.52,4.12,5.6,68.0,900.0
129,김밥_멸치_고추,밥류,488.0,82.0,22.4,7.16,3.72,6.8,192.0,1120.0
130,김밥_샐러드,밥류,468.0,72.56,13.6,13.2,4.28,6.0,80.0,632.0
131,김밥_소고기,밥류,432.0,67.52,16.0,9.88,2.92,4.4,56.0,668.0
132,과ㆍ채주스_딸기_바나나,음료 및 차류,54.0,11.06,1.37,0.52,10.93,0.2,40.0,14.0
133,과ㆍ채주스_사과_당근,음료 및 차류,38.0,9.14,0.23,0.03,9.03,0.8,8.0,15.0
134,과ㆍ채주스_해독주스_착즙형,음료 및 차류,44.0,10.51,0.47,0.04,9.1,0.3,12.0,11.0
135,과ㆍ채주스_혼합과일 주스,음료 및 차류,59.0,13.19,0.77,0.37,12.86,0.7,20.0,15.0
136,라떼_그린티,음료 및 차류,76.0,10.33,2.97,2.56,9.41,0.6,79.0,29.0
137,라떼_바닐라,음료 및 차류,72.0,8.38,2.58,3.17,7.32,0.0,90.0,34.0
138,레몬청차,음료 및 차류,60.0,14.8,0.13,0.01,16.33,0.9,13.0,3.0
139,밀크티_블랙,음료 및 차류,49.0,5.3,1.0,2.64,4.58,0.4,32.0,15.0
140,밀크티_초콜릿,음료 및 차류,76.0,9.61,1.23,3.68,3.65,1.3,11.0,12.0
141,밀크티_타로,음료 및 차류,102.0,11.95,0.37,5.83,7.32,0.0,30.0,18.0
142,밀크티_흑당,음료 및 차류,94.0,15.37,2.38,2.55,12.76,1.4,93.0,55.0
143,식혜,음료 및 차류,130.5,24.315,2.295,2.625,17.04,0.4499999999999999,9.0,3.0
144,액상커피_커피가루_설탕_크림(중량12g),음료 및 차류,51.0,10.06,0.43,1.03,5.94,0.1,14.0,5.0
145,액상커피_커피가루_설탕(중량2.7g),음료 및 차류,17.0,3.98,0.18,0.0,1.68,0.0,2.0,0.0
146,액상커피_커피가루(중량1g),음료 및 차류,4.0,0.7,0.2,0.01,0.0,0.0,2.0,0.0
147,커피_달고나커피,음료 및 차류,111.0,14.08,2.47,4.97,11.46,0.1,91.0,49.0
148,커피_아메리카노,음료 및 차류,4.0,0.66,0.23,0.03,0.0,0.0,5.0,2.0
149,커피_카라멜마끼아토,음료 및 차류,81.0,9.05,2.44,3.94,8.47,0.1,102.0,29.0
150,커피_카페라떼,음료 및 차류,57.0,3.11,2.72,3.72,3.11,0.1,91.0,30.0
151,게장_양념,젓갈류,111.0,8.07,12.24,3.3,4.93,1.8,180.0,607.0
152,명란젓_양념,젓갈류,147.0,3.98,17.96,6.54,0.0,1.1,83.0,2044.0
153,조개젓_양념,젓갈류,103.0,12.61,8.61,2.05,6.46,2.4,145.0,3040.0
154,고추장아찌,장아찌·절임류,124.0,31.49,2.39,0.63,11.38,4.8,16.0,2026.0
155,마늘쫑장아찌,장아찌·절임류,118.0,27.34,1.96,0.14,13.02,5.2,21.0,1410.0
156,마늘쫑장아찌_간장,장아찌·절임류,30.0,5.4,1.0,0.5,3.9,1.6,15.5,813.5
157,마늘쫑장아찌_고추장,장아찌·절임류,55.0,10.5,1.3,0.9,5.6,2.5,20.0,707.5
158,매실장아찌,장아찌·절임류,72.89999999999999,17.433,0.4949999999999999,0.129,11.448,1.17,9.0,337.8
159,무장아찌,장아찌·절임류,24.0,5.0280000000000005,0.441,0.2279999999999999,2.886,0.72,8.4,879.9
160,오이지,장아찌·절임류,29.0,2.52,0.82,1.79,1.87,2.1,60.0,2370.0
161,소스/드레싱_간편조리세트_오야꼬동 (밥제외),"장류, 양념류",890.88,58.8288,68.58239999999999,42.5472,45.5424,7.68,138.24,4070.4
162,카레소스_간편조리세트_키마카레&치즈키마카레,"장류, 양념류",524.96,23.2372,35.3576,32.3468,11.039599999999998,4.246,328.1,1019.04
163,밀크쉐이크_바닐라,유제품류 및 빙과류,113.0,17.01,2.43,3.88,16.57,0.3,98.0,51.0
164,빙수_인절미_우유얼음,유제품류 및 빙과류,141.0,19.6,5.97,4.35,14.98,2.0,97.0,63.0
165,빙수_팥_우유얼음,유제품류 및 빙과류,146.0,31.49,3.24,0.79,25.04,1.9,58.0,51.0
166,아이스크림_썬대,유제품류 및 빙과류,196.0,30.45,3.17,6.86,25.42,0.9,110.0,79.0
167,우유_딸기,유제품류 및 빙과류,73.0,11.04,2.04,2.31,10.24,0.6,71.0,23.0
168,과ㆍ채주스_당근,음료 및 차류,29.0,6.88,0.36,0.04,6.81,1.2,16.0,29.0
169,동치미,김치류,11.0,2.08,0.49,0.07,1.19,0.8,76.0,472.0
170,배추김치,김치류,38.0,6.49,1.98,0.43,2.4,2.5,43.0,551.0
171,배추김치_가을재배,김치류,37.0,6.1,1.85,0.54,3.05,4.6,50.0,548.0
172,배추김치_봄재배,김치류,39.0,5.95,2.22,0.67,2.38,3.6,53.0,626.0
173,배추김치_여름재배,김치류,38.0,6.56,1.84,0.49,3.22,4.6,51.0,606.0
174,백김치,김치류,16.0,3.0,0.95,0.07,1.04,1.9,35.0,395.0
175,부추김치,김치류,71.0,8.42,3.03,2.83,5.14,2.9,63.0,670.0
176,얼갈이배추김치,김치류,30.0,4.37,1.88,0.58,1.15,3.3,125.0,581.0
177,열무김치,김치류,36.0,5.87,2.39,0.38,0.68,2.7,115.0,583.0
178,열무물김치,김치류,18.0,2.91,1.41,0.07,1.68,0.5,32.0,493.0
179,열무얼갈이김치,김치류,17.5,2.61,1.075,0.33,0.455,1.55,39.5,340.0
180,오이소박이,김치류,37.0,6.66,1.76,0.37,3.17,3.1,29.0,302.0
181,유채김치,김치류,62.0,10.1,3.5,0.8,,,67.0,926.0
182,유채물김치,김치류,17.0,3.0,1.0,0.1,,,37.0,452.0
183,총각김치,김치류,42.0,7.89,1.92,0.29,3.0,2.4,38.0,630.0
184,파김치,김치류,49.0,8.51,2.5,0.58,2.8,4.6,60.0,655.0
185,게장_간장,젓갈류,88.0,4.47,12.25,2.31,2.93,0.0,213.0,910.0
186,물만두,면 및 만두류,322.0,36.75,21.35,8.96,0.21,4.55,77.0,357.0
187,밴댕이무침,생채·무침류,600.0,46.0,29.8,33.0,27.0,16.4,408.0,1028.0
188,부추무침_부추만,생채·무침류,70.0,11.58,3.25,1.21,7.67,3.1,90.0,780.0
189,상추 겉절이,생채·무침류,64.0,6.18,2.48,3.26,3.71,2.3,89.0,550.0
190,샐러드_간편조리세트_콥샐러드&시저드레싱,생채·무침류,626.94,22.113,42.525000000000006,40.824000000000005,9.1854,4.3740000000000006,422.8200000000001,1647.5400000000002
191,샐러드_고구마,생채·무침류,185.0,26.84,1.81,7.79,14.98,3.0,38.0,125.0
192,샐러드_양배추_코올슬로,생채·무침류,153.0,14.89,0.95,9.91,12.19,1.9,30.0,203.0
193,쑥갓나물무침,생채·무침류,96.0,6.6000000000000005,4.5,5.699999999999999,0.3,5.85,156.0,709.5
194,오이생채,생채·무침류,50.0,7.97,1.44,1.34,5.84,2.1,58.0,404.0
195,오이생채_오이만,생채·무침류,51.0,6.56,1.61,2.08,4.81,1.7,62.0,498.0
196,탕평채,생채·무침류,97.0,12.26,3.55,3.81,0.39,2.7,19.0,260.0
197,파무침,생채·무침류,82.0,10.65,2.31,3.36,7.08,3.5,103.0,502.0
198,홍어무침,생채·무침류,198.0,25.96,17.86,2.64,14.46,6.8,300.0,802.0
199,회무침_서대,생채·무침류,315.0,45.900000000000006,22.59,4.59,22.29,8.399999999999999,183.0,1200.0
200,갓김치,김치류,37.0,7.07,3.26,0.4,2.46,3.0,103.0,720.0
201,고들빼기김치,김치류,55.5,10.935,1.58,0.61,2.845,2.85,25.5,742.5
202,깍두기,김치류,20.0,4.135,0.68,0.105,1.61,,16.0,261.5
203,깻잎김치,김치류,83.0,11.77,3.44,2.44,5.79,4.3,106.0,836.0
204,물냉면_열무,면 및 만두류,549.1,94.8498,27.166000000000004,5.491,3.9882,8.092,115.6,2462.28
205,미나리나물,나물·숙채류,29.5,2.24,1.015,1.835,0.0,1.75,39.0,150.5
206,세발나물무침,나물·숙채류,78.0,7.05,3.01,4.25,3.67,4.1,74.0,701.0
207,우거지나물무침,나물·숙채류,129.0,8.7,4.5,8.504999999999999,1.5,8.7,195.0,772.5
208,취나물무침,나물·숙채류,74.0,3.305,1.375,6.155,0.0,3.25,74.5,282.0
209,골뱅이무침,생채·무침류,109.0,15.69,7.08,1.97,10.46,3.7,38.0,526.0
210,냉채_해파리,생채·무침류,91.5,13.395,6.195,1.395,11.4,2.1,45.0,508.5
211,노각무침,생채·무침류,84.0,14.294999999999998,2.595,1.7999999999999998,7.095000000000001,4.050000000000001,40.5,817.5
212,단무지무침,생채·무침류,20.0,2.8,0.5,0.8,0.7,1.6,15.0,429.0
213,달래무침,생채·무침류,136.5,23.805,4.005,2.805,11.205,6.449999999999999,85.5,867.0
214,더덕무침,생채·무침류,216.0,43.395,4.305,2.805,20.205,7.050000000000001,60.0,1246.5
215,도라지생채,생채·무침류,119.0,24.52,2.75,1.11,9.6,4.9,40.0,522.0
216,무말랭이무침,생채·무침류,131.0,29.24,2.25,0.61,16.75,7.6,87.0,1073.0
217,묵무침_도토리묵,생채·무침류,46.0,10.38,0.29,0.32,0.43,0.9,13.0,124.0
218,묵무침_청포묵,생채·무침류,150.0,22.7,2.9,5.2,1.7999999999999998,4.0,32.5,725.0
219,물회,생채·무침류,532.0,55.3,34.370000000000005,18.9,20.02,15.400000000000002,210.0,2093.0
220,물회_생선,생채·무침류,576.0,82.48,34.32,12.32,52.0,11.2,184.0,2776.0
221,미역초무침,생채·무침류,63.0,12.57,2.19,0.48,8.29,2.9,122.0,597.0
222,배추 겉절이,생채·무침류,43.0,6.51,2.18,0.92,3.04,2.5,57.0,581.0
223,라조기,튀김류,398.0,26.24,20.66,23.5,0.16,2.8,72.0,648.0
224,멘보샤,튀김류,289.0,13.22,10.52,21.6,1.0,2.1,30.0,696.0
225,미꾸라지튀김,튀김류,387.0,28.85,10.89,25.39,0.3,3.5,537.0,324.0
226,복어튀김,튀김류,320.0,22.88,13.84,19.27,0.6,2.2,27.0,284.0
227,북어강정_고추장양념,튀김류,379.0,25.82,19.22,22.07,12.17,1.1,119.0,709.0
228,생선까스,튀김류,654.0,46.56,24.34,41.1,1.96,3.8,46.0,788.0
229,양파링튀김,튀김류,411.0,43.58,3.86,25.23,5.43,2.7,115.0,776.0
230,쥐포튀김,튀김류,357.0,42.5,9.62,16.49,7.96,1.4,81.0,717.0
231,치즈볼,튀김류,333.0,28.66,9.56,20.0,5.48,0.3,153.0,532.0
232,치즈스틱,튀김류,329.0,20.57,12.59,21.85,1.84,0.2,274.0,596.0
233,치킨가스,튀김류,592.0,44.02,27.92,33.92,4.16,3.8,156.0,780.0
234,탕수육_간편조리세트_김치피자탕수육,튀김류,1793.3000000000002,161.713,97.644,84.293,58.223000000000006,18.17,1477.3,3152.1000000000004
235,난자완스,튀김류,346.0,19.14,21.62,20.34,0.5,3.4,34.0,704.0
236,고구마줄기나물,나물·숙채류,97.0,5.77,1.64,7.46,1.65,3.2,136.0,473.0
237,깻잎나물,나물·숙채류,146.0,6.42,4.23,11.49,0.98,4.3,276.0,416.0
238,깻잎나물볶음,나물·숙채류,206.0,11.5,7.5,14.4,0.6,10.4,364.0,1042.0
239,머위나물무침,나물·숙채류,85.0,2.49,1.62,7.66,0.44,2.0,53.0,452.0
240,물냉면,면 및 만두류,748.8,142.116,28.08,5.537999999999999,3.276,6.24,78.0,1567.8
241,김말이튀김,튀김류,292.5,45.765,3.075,10.8,2.82,1.95,157.5,690.0
242,깐풍새우,튀김류,240.0,20.56,8.15,13.86,7.2,2.5,100.0,531.0
243,닭모래집튀김,튀김류,468.0,29.1,28.095,26.595,1.7999999999999998,1.95,36.0,322.5
244,닭튀김,튀김류,903.0,48.81,65.19,49.71,1.5,4.5,39.0,1245.0
245,닭튀김_다리(넓적다리),튀김류,277.0,9.08,21.61,16.53,,0.3,18.0,288.0
246,닭튀김_다리(아랫다리),튀김류,268.0,8.28,21.95,15.75,,0.3,17.0,269.0
247,닭튀김_닭가슴살,튀김류,252.0,20.2,21.0,9.7,,,6.0,60.0
248,닭튀김_목,튀김류,330.0,8.7,19.82,23.52,,,31.0,276.0
249,닭튀김_살코기,튀김류,289.0,9.42,22.54,17.35,0.0,0.3,21.0,292.0
250,닭튀김_너겟,튀김류,332.0,16.63,15.3,22.7,1.12,1.6,61.0,516.0
251,닭튀김_양념,튀김류,552.0,42.3,35.5,26.8,12.5,2.2,34.0,806.0
252,돈가스_간편조리세트_부타이로스카츠 (통등심돈가스),튀김류,835.78,34.1649,46.1274,57.3243,9.9209,1.595,38.28,1027.18
253,돈가스,튀김류,280.0,15.89,13.85,17.94,4.99,0.3,34.0,343.0
254,돈가스_고구마,튀김류,317.0,23.05,12.34,19.51,6.22,2.0,72.0,288.0
255,돈가스_돼지등심,튀김류,624.0,38.48,33.0,37.54,3.66,2.0,36.0,574.0
256,돈가스_돼지안심,튀김류,652.0,34.26,33.28,42.4,2.78,2.4,32.0,552.0
257,돈가스_치즈,튀김류,755.0,41.775000000000006,42.025,46.7,3.575,3.25,420.0,870.0
258,모밀국수,면 및 만두류,344.0,71.84,10.0,1.28,5.76,2.8,28.0,1020.0
259,주꾸미삼겹살,볶음류,161.0,10.66,10.11,8.66,5.41,2.3,8.0,280.0
260,해물볶음,볶음류,420.0,32.2,38.2,15.32,7.4,9.2,424.0,1756.0
261,가자미조림,조림류,297.0,21.51,37.11,7.11,10.5,5.4,228.0,1692.0
262,고등어조림,조림류,108.0,4.9,8.36,6.07,3.73,1.1,61.0,411.0
263,고추조림,조림류,111.0,13.4,3.3,4.9,7.1,4.0,46.0,779.0
264,닭볶음탕_간편조리세트_곱도리탕,조림류,1341.78,133.17479999999998,83.51639999999999,52.7934,53.7966,17.555999999999997,137.94,4501.86
265,동태조림,조림류,275.0,17.4,40.8,4.699999999999999,10.2,4.25,337.5,1392.5
266,북어조림,조림류,182.0,17.14,20.83,3.33,8.2,2.1,155.0,766.0
267,연근조림,조림류,261.0,60.2,2.1,1.3,,4.3,23.0,668.0
268,장조림_돼지고기_메추리알,조림류,63.5,3.37,8.335,1.85,1.275,0.55,9.0,583.0
269,장조림_소고기_메추리알,조림류,60.5,2.885,8.135,1.84,0.715,0.6,8.5,602.0
270,장조림_우엉,조림류,149.0,34.37,2.1,0.3,17.4,4.8,40.0,1092.0
